name,price,image,description
Gefilte Fish,18,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/gefilte-fish.jpg,"Sweet, traditional & everything it should be.
1 loaf, serves 8"
Homemade Horseradish,8,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/homemade-horseradish.jpg,"Always fresh. Adds a perfect kick!
1 pint, serves 6 to 8"
Grated Natural Horseradish,12,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/grated-natural-horseradish.jpg,"Freshly grated horseradish. We wait until the last possible moment to begin grating, to ensure a product that really packs a punch!
1 pint, serves 6 to 8"
Vegetable Soup,10,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/vegetable-soup.jpg,"Savory broth loaded with chunks of veggies.
1 quart, serves 3"
Gazpacho Soup,10,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/gazpacho-soup.jpg,"A revitalizing cold soup bursting with the fresh flavors of tomatoes, cucumbers, onions & garlic.
1 quart, serves 3"
Herbed Butternut Soup,13,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/herbed-butternut-soup.jpg,"A creamy soup that is both sweet and savory.
1 quart, serves 3"
Wild Mushroom Soup,11,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/Wild-Mushroom-Soup.jpg,"Assorted âshrooms lend this rich savory soup its depth!
1 quart, serves 3"
Blueberry Mango Fruit Soup,13.5,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/fruitsoup.jpg,Deliciously refreshing blend of pureed fruits
Cabbage Meat Soup,11,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/cabbage-meat-soup.jpg,"Tomato based & hearty.
1 quart, serves 3"
Chicken Soup,13,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/chicken-soup.jpg,"This one gets raves reviews from east coast to west every time!
1 quart, serves 3"
Large Matzo Balls,6,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/large-matza-balls.jpg,Fluffy & huge! Your grandmother would be proud.
Sweet and Sour Meat Balls,14,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/sweet-and-sour-meat-balls.jpg,"Perfectly flavored and surrounded by a robust mushroom-tomato sauce.
Each order contain approximately 9 meatballs, and serves 3 adults (as an appetizer)."
Stuffed Cabbage,6,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/stuffed-cabbage.jpg,Deliciously seasoned beef packaged in a subtly sweet sauce and tender cabbage leaves. Individually priced.
Curried Fish Balls,18,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/curried-fish-balls.jpg,"A South African favorite! A ground whitefish mixture in pungent yet subtle onion-curry sauce.
approx. 9 per order, serves 3"
Chicken Pate,20,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/chicken-pate.jpg,"Creamy chicken-vegetable pate with a zing. Excellent on matzah, and Brenda's daughter's favorite Passover snack!
1 pint, serves 4 to 6"
Roast Chicken (Dark),7,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/roast-chicken-quarters.jpg,A succulent and gently seasoned roasted chicken leg/thigh combo.
Roast Chicken (White),8,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/roast-chicken-quarters.jpg,A succulent and gently seasoned roasted chicken breast/wing combo.
BBQ Chicken (Dark),7,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/bbq-chicken-quarters.jpg,Hearty red sauce on tender pieces of dark chicken.
BBQ Chicken (White),8,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/bbq-chicken-quarters.jpg,Hearty red sauce on tender pieces of white chicken.
Cranberry Chicken (Dark),8,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/cranberry-chicken-quarters.jpg,Chicken leg/thigh combo cooked with a sweet & tangy cranberry marinade.
Cranberry Chicken (White),9,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/cranberry-chicken-quarters.jpg,Chicken breast/wing combo cooked with a sweet & tangy cranberry marinade.
Marbella Chicken (Dark),8,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/marbella-chicken-quarters.jpg,"Chicken leg/thigh combo cooked with prunes, capers, olives & white wine."
Marbella Chicken (White),9,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/marbella-chicken-quarters.jpg,"Chicken breast/wing combo cooked with prunes, capers, olives & white wine."
Boneless Grilled Chicken,9.5,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/boneless-grilled-chicken-breast.jpg,"Grilled to perfection.
approx. 5 oz., serves 1"
Chicken Schnitzel,10,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/chicken-schnitzel.jpg,"Boneless breast of chicken coated in a matza-crumb topping and baked (yes baked, not fried).Â  Perfect for kids, and the young at heart!
approx. 6 oz., serves 1"
Pistachio Crusted Chicken,12,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/pistachio-crusted-chicken.jpg,"Tender chicken breasts surrounded by a delicate pistachio crumb crust. Another favorite in the Walt household.
approx. 6 oz., serves 1"
Grilled Chicken Pesto,11.5,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/grilled-pesto-chicken.jpg,"approx. 6 oz., serves 1"
Chicken Breast Stuffed with Pesto,12,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/chicken-breast-stuffed-with-pesto.jpg,"A nutty, tangy pesto sauce tempered perfectly by the chicken's own robust flavor.
1 piece, serves 1"
Moroccan Chicken Kabobs,17,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/moroccan-chicken-kabobs.jpg,"Tender thighs of chicken suffused with aromatic Mediterranean flavors and served on a stick. Â Makes a great appetizer for two!
4 skewers, serves 1"
Roasted Turkey Breast,50,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/roastedturkey.jpg,"We roast a turkey breast, and give it to you sliced. Take it up a notch with our Homemade Cranberry Chutney.
1 whole turkey breast, serves 6 to 8"
Babootie,25,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/babootie.jpg,"Curried ground meat, and topped with creamy mashed potatoes. Our South African Shepherd's pie.
1 pan, serves 4"
Sliced Brisket w/Gravy,28,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/sliced-brisket-with-gravy.jpg,"A delicious staple at any Holiday meal.
1 pound, serves 3 to 4"
Braised Short Ribs,60,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/braised-short-ribs.jpg,"Very tender and bursting with flavor. One order serves 4 people.
4 large ribs, serves 4"
Skirt Steak,56,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/SkirtSteak2.jpg,Skirt Steak with Kansas City Sauce.
Citrus Baked Salmon,10,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/citrus-salmon-cropped.jpg,"So good it's hard to believe that it's good for you!
approx. 5 oz., serves 1"
Nut Encrusted Salmon,11,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/nut-encrusted-salmon.jpg,"Fresh salmon fillets surrounded by a delicate pistachio crumb crust.
approx. 6 oz., serves 1"
Herbed Roasted Potatoes,16,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/herbed-roasted-potatoes.jpg,"Crisp on the outside, tender on the inside, and all seasoned to perfection.
1 pan, serves 6"
Oven Roasted Harvest Vegetables,18,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/oven-roasted-harvest-vegetables.jpg,"Richly colored fall vegetables. A beautiful dish that is both savory & sweet.
Contains: Butternut, zucchini, mushrooms, carrots, eggplant, red onion, red and yellow peppers.
1 pan, serves 4 to 6"
Ratatouille,16,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/ratatouille.jpg,"Eggplant, zucchini, & onions in a tomato based sauce combine for a rich & satisfying dish.
1 pan, serves 6"
Sweet Potato Soufflé,18,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/sweet-potato-souffle.jpg,"Creamy yams & sweet spuds with a crusty nut topping.
1 pan, serves 6"
Potato Kugel,20,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/potato-kugel.jpg,"Crisp & creamy with just the right touch of pepper & onion.
1 pan, serves 12"
Butternut Terrine,20,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/butternut-terrine.jpg,"Light and on the sweeter side. A definite crowd pleaser.
1 pan, serves 6"
Carrot and Broccoli Terrine,18,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/carrot-broccoli-terrine.jpg,"Half carrot, half broccoli. Lighter than a kugel & just the perfect way to get in your veggies!
1 pan, serves 6"
Sweet Potato Nut Puffs,18,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/sweet-potato-nut-puff.jpg,"Creamy yams rolled in chopped walnuts and baked to just the right crispness
6 large puffs, serves 6"
"Beet, Apple and Pecan Salad",14,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/beet-apple-pecan-salad.jpg,"Roasted beets, pecans and apples tossed in a sweet honey-raisin vinaigrette.
1 pint, serves 4"
Cucumber Salad,8,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/cucumber-salad.jpg,"Fresh & tangy! Brenda's middle daughter can't get enough of it.
1 pint, serves 4"
Potato Leek Salad,12,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/potato-leek-salad.jpg,"Spuds & leeks in a tantalizing herb dressing.
1 pint, serves 6"
Marinated Mushrooms,15,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/marinated-mushrooms.jpg,"Herbed and marinated mushrooms that are deliciously seasoned.
1 pint, serves 4"
Moroccan Carrot Salad,13,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/moroccan-carrot-salad.jpg,"Cumin laced with a zing of lemon
1 pint, serves 4"
Cranberry Chutney,12,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/cranberry-chutney.jpg,"Chunky and cinnamon laced. AÂ greatÂ combination of cranberry, apple, raisin, celery & more.
1 pint, serves 4"
Haroset,12,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/haroset.jpg,"So good, it's not just for dipping anymore!
1 pint, serves 4"
Sweet Balsamic Vinaigrette,10,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/brendas-dressings.jpg,"Terrific with greens & fruit
8 oz."
Honey-Mustard Dressing,8,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/honey-mustard.jpg,"A fantastic blend of sweet & tangy
8 oz."
Creamy Mexican Dressing,8,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/mexican-dressing.jpg,"This spicy pink dressing will do wonders for your hearty leaves, tomatoes & avocados
8 oz."
Creamy Garlic Dressing,8,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/Creamy-Garlic-Dressing.jpg,"The name says it all. Great on a House salad or any other
8 oz."
Brownie Bar,16,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/Brownie-Bar.jpg,"Fudgy & chewy!
1 pan, serves 8 to 10"
Pesach Granola,10,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/pesach-granola.jpg,"With Cranberries and Almonds. Great when used as a morning cereal or as an anytime snack.
1 pound"
Brendas Cranberry Biscotti,14,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/brendas-cranberry-biscotti.jpg,"A Brenda favorite for non-chocolate lovers!
1 pound, contains approximately 15 pieces of biscotti."
Chocolate Crunch Biscotti,15,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/brendas-choc-crunch-biscotti.jpg,"A Brenda favorite for chocolate lovers.
1 pound, contains approximately 15 pieces of biscotti."
Chocolate Dipped Meringues,18,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/meringue-cookies.jpg,"Delicate vanilla confection with a chocolate dipped bottom
1 dozen large dipped meringues, serves 12"
Apple Tart,35,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/apple-tart-e1426434259236.jpg,"Tart Granny Smiths baked with a sweet crunchy shell. 
Serves 10 to 12."
Chocolate Mousse Cake,36,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/chocolate-mousse-cake.jpg,"Delicately thin crust topped with deep and deliciously fluffy chocolate mousse.
10 inch cake, serves 12"
Chocolate Nut Torte,36,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/chocolate-nut-torte.jpg,"Dense & rich. Berries make the perfect accompaniment.
10 inch cake, serves 12"
Almond Cake,30,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/almond-cake.jpg,"
10 inch cake, serves 12"
Chocolate Mousse,18,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/chocolate-mousse.jpg,"Deliciously fluffy chocolate mousse.
1 quart, serves 6 to 8"
Homemade Strawberry Ice Cream,12,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/homemade-strawberry-icecream.jpg,"Creamy, fresh & light.
1 quart, serves 6 to 8"
Homemade Mango Ice Cream,12,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/homemade-mango-icecream.jpg,"Sweet ice cream with a perfect tang.
1 quart, serves 6 to 8"
Poached Pears in Wine,20,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/poached-pears-in-wine.jpg,"Sophisticated, subtle & sensational.
4 pears, serves 4"
Hard Boiled Eggs,12,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/hard-boiled-eggs.jpg,"One Dozen pre-shelled, hard-boiled eggs."
Seder Plate,35,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/seder-plate.jpg,"Includes Haroset, Maror, Shank Bone, Burnt Egg, and Celery.
1 seder plate (with all the fixings)"